batch,repo,category,sample_index,file,sample_status,error,std_mpsc,tokio_mpsc,tokio_broadcast,tokio_watch,tokio_oneshot,futures_mpsc,futures_oneshot,crossbeam_channel,async_channel,flume,async_priority_channel,total_channel_creation_sites
3,aaif-goose/goose,mpmc_pub_sub,3,crates/goose-server/src/routes/reply.rs,analyzable,,0,1,0,0,0,0,0,0,0,0,0,1
3,aaif-goose/goose,mpmc_pub_sub,4,crates/goose/src/tracing/rate_limiter.rs,analyzable,,0,0,0,0,0,0,0,0,0,0,0,0
3,aaif-goose/goose,mpmc_pub_sub,5,crates/goose/src/agents/extension_manager.rs,analyzable,,0,1,0,0,0,0,0,0,0,0,0,1
3,sxyazi/yazi,mpmc_competing_consumers,1,yazi-scheduler/src/worker.rs,analyzable,,0,1,0,0,0,0,0,0,0,0,7,8
3,sxyazi/yazi,mpmc_competing_consumers,2,yazi-dds/src/pump.rs,analyzable,,0,6,0,0,0,0,0,0,0,0,0,6
3,sxyazi/yazi,mpmc_competing_consumers,3,yazi-actor/src/tasks/inspect.rs,analyzable,,0,1,0,0,0,0,0,0,0,0,0,1
3,sxyazi/yazi,mpmc_competing_consumers,4,yazi-vfs/src/files.rs,analyzable,,0,1,0,0,0,0,0,0,0,0,0,1
3,sxyazi/yazi,mpmc_competing_consumers,5,yazi-plugin/src/external/rg.rs,analyzable,,0,1,0,0,0,0,0,0,0,0,0,1
3,wezterm/wezterm,oneshot,1,window/src/os/wayland/window.rs,analyzable,,0,0,0,0,0,0,0,0,1,0,0,1
3,wezterm/wezterm,oneshot,2,mux/src/ssh.rs,analyzable,,0,0,0,0,0,0,0,0,0,0,0,0
3,wezterm/wezterm,oneshot,3,config/src/lib.rs,analyzable,,1,0,0,0,0,0,0,0,0,0,0,1
3,wezterm/wezterm,oneshot,4,promise/src/spawn.rs,analyzable,,0,0,0,0,0,0,0,0,0,0,0,0
3,wezterm/wezterm,oneshot,5,wezterm/src/asciicast.rs,analyzable,,0,0,0,0,0,0,0,0,0,0,0,0
4,helix-editor/helix,mpsc,1,helix-view/src/handlers/word_index.rs,analyzable,,0,1,0,0,0,0,0,0,0,0,0,1
4,helix-editor/helix,mpsc,2,helix-dap/src/transport.rs,analyzable,,0,0,0,0,0,0,0,0,0,0,0,0
4,helix-editor/helix,mpsc,3,helix-dap/src/client.rs,analyzable,,0,0,0,0,0,0,0,0,0,0,0,0
4,helix-editor/helix,mpsc,4,helix-loader/src/grammar.rs,analyzable,,0,0,0,0,0,0,0,0,0,0,0,0
4,helix-editor/helix,mpsc,5,helix-view/src/editor.rs,analyzable,,0,1,0,0,0,0,0,0,0,0,0,1
4,wasmerio/wasmer,mpmc_competing_consumers,1,lib/wasix/src/runtime/task_manager/tokio.rs,analyzable,,1,0,0,0,0,0,0,0,0,0,0,1
4,wasmerio/wasmer,mpmc_competing_consumers,2,lib/journal/src/concrete/pipe.rs,analyzable,,0,2,0,0,0,0,0,0,0,0,0,2
4,wasmerio/wasmer,mpmc_competing_consumers,3,lib/c-api/src/wasm_c_api/wasi/mod.rs,analyzable,,0,0,0,0,0,0,0,0,0,0,0,0
4,wasmerio/wasmer,mpmc_competing_consumers,4,lib/virtual-net/src/rx_tx.rs,analyzable,,0,0,0,0,1,0,0,0,0,0,0,1
4,wasmerio/wasmer,mpmc_competing_consumers,5,lib/virtual-net/src/loopback.rs,not_relevant,,0,0,0,0,0,0,0,0,0,0,0,0
4,biomejs/biome,oneshot,1,crates/biome_cli/src/service/mod.rs,analyzable,,0,0,0,0,1,0,0,0,0,0,0,1
4,biomejs/biome,oneshot,2,xtask/coverage/src/runner.rs,analyzable,,2,0,0,0,0,0,0,0,0,0,0,2
4,biomejs/biome,oneshot,3,crates/biome_lsp/src/session.rs,analyzable,,0,0,1,1,0,0,0,0,0,0,0,2
4,biomejs/biome,oneshot,4,crates/biome_lsp/src/server.rs,analyzable,,0,0,0,2,0,0,0,0,0,0,0,2
4,biomejs/biome,oneshot,5,crates/biome_service/src/workspace.rs,not_relevant,,0,0,0,1,0,0,0,0,0,0,0,1
5,sharkdp/fd,mpsc,1,src/walk.rs,analyzable,,0,0,0,0,0,0,0,0,0,0,0,0
5,atuinsh/atuin,mpmc_pub_sub,1,crates/atuin/src/command/client/scripts.rs,analyzable,,0,0,0,0,1,0,0,0,0,0,0,1
5,atuinsh/atuin,mpmc_pub_sub,2,crates/atuin-ai/src/driver.rs,analyzable,,0,0,0,1,1,0,0,0,0,0,0,2
5,atuinsh/atuin,mpmc_pub_sub,3,crates/atuin-hex/src/lib.rs,analyzable,,0,1,0,0,0,0,0,0,0,0,0,1
5,atuinsh/atuin,mpmc_pub_sub,4,crates/atuin-daemon/src/components/sync.rs,analyzable,,0,1,0,0,0,0,0,0,0,0,0,1
5,atuinsh/atuin,mpmc_pub_sub,5,crates/atuin-client/src/settings/watcher.rs,analyzable,,0,0,0,1,0,0,0,0,0,0,0,1
5,openobserve/openobserve,mpmc_competing_consumers,1,src/infra/src/db/sqlite.rs,analyzable,,0,1,0,0,0,0,0,0,0,0,0,1
5,openobserve/openobserve,mpmc_competing_consumers,2,src/config/src/utils/file.rs,analyzable,,0,0,0,0,0,0,0,0,0,0,0,0
5,openobserve/openobserve,mpmc_competing_consumers,3,src/router/grpc/ingest/traces.rs,not_relevant,,0,0,0,0,0,0,0,0,0,0,0,0
5,openobserve/openobserve,mpmc_competing_consumers,4,src/router/grpc/ingest/logs.rs,not_relevant,,0,0,0,0,0,0,0,0,0,0,0,0
5,openobserve/openobserve,mpmc_competing_consumers,5,src/main.rs,analyzable,,0,0,0,0,6,0,0,0,0,0,0,6
5,diem/diem,oneshot,1,crates/diem-rate-limiter/src/main.rs,analyzable,,0,0,0,0,0,0,0,0,0,0,0,0
5,diem/diem,oneshot,2,consensus/src/txn_manager.rs,analyzable,,0,0,0,0,2,0,0,0,0,0,0,2
5,diem/diem,oneshot,3,network/src/connectivity_manager/mod.rs,analyzable,,0,0,0,0,1,0,0,0,0,0,0,1
5,diem/diem,oneshot,4,language/testing-infra/test-generation/src/lib.rs,analyzable,,0,0,0,0,0,0,0,0,0,0,0,0
5,diem/diem,oneshot,5,language/move-prover/boogie-backend/src/prover_task_runner.rs,analyzable,,0,0,1,0,0,0,0,0,0,0,0,1
